Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
Donald Monro,e,12.99,t,9.37,a,7.86,o,7.26,i,7.2,n,6.62,r,6.35,s,6.2,h,5.58,d,4.48,12.99,9.37,7.26,7.86,6.62,7.2,6.35,6.2,5.58,3.45,4.48,2.94,2.75,2.59,2.75,2.11,1.85,1.58,1.59,1.98,,,,,,English
Donald William Stewart,e,12.19,t,9.9,a,7.84,o,7.7,i,7.3,n,7.14,r,6.7,s,6.41,h,5.62,l,3.99,12.19,9.9,7.7,7.84,7.14,7.3,6.7,6.41,5.62,3.99,3.84,3.1,2.51,2.61,2.21,1.91,1.8,1.67,1.61,1.79,,,,,,English
Dorothy L. Sayers,e,11.83,t,9.13,o,7.89,a,7.74,i,7.2,n,6.72,s,6.08,r,5.9,h,5.6,d,4.57,11.83,9.13,7.89,7.74,6.72,7.2,5.9,6.08,5.6,4.11,4.57,2.4,3.27,2.0,2.68,2.0,2.09,2.48,1.68,2.06,,,,,,English
Douglas Sladen,e,12.4,t,9.15,a,8.19,o,7.47,i,7.06,n,6.88,h,6.73,s,6.01,r,5.87,d,4.21,12.4,9.15,7.47,8.19,6.88,7.06,5.87,6.01,6.73,4.05,4.21,2.51,2.72,2.53,2.57,1.67,1.95,1.86,1.42,2.5,,,,,,English
E. D. E. N. Southworth,e,12.59,t,8.94,o,8.09,a,7.88,n,6.84,i,6.65,h,6.38,r,6.1,s,5.82,d,4.74,12.59,8.94,8.09,7.88,6.84,6.65,6.1,5.82,6.38,4.23,4.74,2.24,2.88,2.16,2.45,1.64,1.85,2.29,1.48,2.41,,,,,,English
E. F. Benson,e,12.29,t,8.98,a,8.26,o,7.76,n,6.98,i,6.9,s,6.37,h,6.2,r,5.7,d,4.55,12.29,8.98,7.76,8.26,6.98,6.9,5.7,6.37,6.2,4.15,4.55,2.44,2.9,2.14,2.43,1.55,1.96,1.91,1.55,2.42,,,,,,English
E. Lynn Linton,e,12.62,t,9.81,o,7.81,a,7.81,n,7.44,i,6.8,r,6.37,s,6.11,h,5.42,l,4.22,12.62,9.81,7.81,7.81,7.44,6.8,6.37,6.11,5.42,4.22,4.03,2.95,2.66,2.48,2.29,2.02,1.85,1.81,1.57,1.79,,,,,,English
E. M. Forster,e,12.72,t,9.09,a,7.9,o,7.53,i,6.75,n,6.69,h,6.49,s,6.33,r,5.85,d,4.54,12.72,9.09,7.53,7.9,6.69,6.75,5.85,6.33,6.49,4.18,4.54,2.43,3.05,1.91,2.56,1.65,2.06,2.09,1.52,2.34,,,,,,English
E. Nesbit,e,12.68,t,9.09,a,8.03,o,7.68,n,6.65,h,6.65,i,6.62,s,6.14,r,5.73,d,4.95,12.68,9.09,7.68,8.03,6.65,6.62,5.73,6.14,6.65,4.14,4.95,2.02,2.79,1.93,2.3,1.71,2.04,2.11,1.82,2.54,,,,,,English
E. P. S. Allen,e,11.61,t,9.88,o,8.21,a,8.04,n,7.67,r,6.6,i,6.52,s,5.15,h,4.82,l,4.16,11.61,9.88,8.21,8.04,7.67,6.52,6.6,5.15,4.82,4.16,4.11,3.22,2.74,2.36,2.47,2.26,2.18,1.66,1.66,2.27,,,,,,English
E. Phillips Oppenheim,e,12.91,t,8.73,o,7.85,a,7.8,i,6.75,n,6.54,h,6.2,r,6.2,s,5.94,d,4.42,12.91,8.73,7.85,7.8,6.54,6.75,6.2,5.94,6.2,3.96,4.42,2.44,2.91,2.12,2.97,1.84,2.06,2.34,1.35,2.27,,,,,,English
E. T. C. Werner,e,12.59,t,9.16,a,7.78,i,7.32,o,7.3,n,7.26,h,6.77,s,6.33,r,5.85,d,4.21,12.59,9.16,7.3,7.78,7.26,7.32,5.85,6.33,6.77,3.5,4.21,2.82,2.86,2.47,2.4,1.87,2.24,1.67,1.32,1.98,,,,,,English
E. V. Lucas,e,12.37,t,9.26,a,8.14,o,7.75,n,7.13,i,7.01,s,6.5,r,6.03,h,5.89,l,4.0,12.37,9.26,7.75,8.14,7.13,7.01,6.03,6.5,5.89,4.0,3.91,2.68,2.83,2.26,2.53,1.74,2.0,1.94,1.66,2.17,,,,,,English
E.M. Berens,e,13.5,t,8.59,a,7.6,o,7.24,s,6.85,i,6.81,h,6.74,n,6.61,r,6.29,d,4.63,13.5,8.59,7.24,7.6,6.61,6.81,6.29,6.85,6.74,3.61,4.63,2.82,2.84,2.61,2.27,2.03,1.93,1.54,1.36,2.06,,,,,,English
Eben Eugene Rexford,e,12.47,t,10.02,o,8.0,a,7.67,i,7.16,n,6.69,r,6.26,s,6.06,h,4.94,l,4.5,12.47,10.02,8.0,7.67,6.69,7.16,6.26,6.06,4.94,4.5,3.5,2.56,2.81,2.64,2.2,2.1,2.22,1.78,1.79,2.19,,,,,,English
Edgar Allan Poe,e,12.76,t,9.42,a,7.7,o,7.59,i,7.2,n,6.96,s,6.01,r,5.92,h,5.81,d,4.09,12.76,9.42,7.59,7.7,6.96,7.2,5.92,6.01,5.81,3.99,4.09,2.71,2.94,2.52,2.59,2.02,1.95,1.89,1.58,2.12,,,,,,English
